step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
103,CASH_OUT,1393.27,C786579303,7006.91,5613.64,M308789137,0.0,0.0,0,0
436,PAYMENT,3802.38,C219540831,7152.99,3350.61,C626633172,163640.65,167443.03,0,0
271,PAYMENT,191052.64,C126855092,2484.09,0.0,C441189853,2364.96,193417.6,0,0
107,CASH_IN,2135.69,C896233790,127061.47,124925.78,M747650867,0.0,0.0,0,0
72,CASH_OUT,20958.53,C395310485,62080.97,41122.44,M749697362,0.0,0.0,0,0
701,PAYMENT,7184.47,C362950628,246615.12,239430.65,C649278898,2142729.96,2149914.43,0,0
21,PAYMENT,14167.71,C339670711,27342.98,13175.27,C160180666,103074.51,117242.22,0,0
615,CASH_OUT,3774.83,C249827706,16002.4,12227.57,C815934958,367513.22,371288.05,0,0
122,CASH_OUT,46259.38,C890779946,50224.98,3965.6,C487690454,88866.3,135125.68,0,0
467,CASH_OUT,15371.51,C210053353,243628.47,228256.96,C526874654,480639.65,496011.16,0,0
215,CASH_IN,16025.77,C826600539,109062.87,93037.1,C258855742,46059.33,62085.1,0,0
331,CASH_OUT,9398.83,C895285932,61443.98,52045.15,C868760242,5739.47,15138.3,0,0
459,CASH_IN,53313.34,C685582861,226107.57,172794.23,M559175471,0.0,0.0,0,0
88,TRANSFER,18773.99,C193349856,60481.89,41707.9,C496887155,449824.73,468598.72,0,0
373,CASH_IN,14134.26,C734036506,18341.97,4207.71,C514585268,313691.06,327825.32,0,0
100,CASH_OUT,21568.04,C553035110,367721.23,346153.19,C500324401,363658.89,385226.93,0,0
664,CASH_IN,578.27,C134126396,4930.9,4352.63,C113089765,206414.02,206992.29,0,0
131,CASH_OUT,10739.04,C131994523,3495.72,0.0,C405641007,3221.97,13961.01,0,0
662,PAYMENT,7361.1,C200604502,56960.63,49599.53,C470355261,44666.41,52027.51,0,0
309,CASH_IN,46764.34,C334760738,71087.5,24323.16,M477264595,0.0,0.0,0,0
344,PAYMENT,2831.2,C349817734,95420.22,92589.02,C430804119,37804.92,40636.12,0,0
492,PAYMENT,10956.18,C642621108,31094.08,20137.9,C578433629,507852.48,518808.66,0,0
414,CASH_OUT,145184.52,C746412689,896425.62,751241.1,C702404613,119385.94,264570.46,0,0
386,PAYMENT,7796.48,C128492780,2989.65,0.0,C194058316,606884.84,614681.32,0,0
192,PAYMENT,1101.68,C702632297,78430.54,77328.86,C331600910,1640159.76,1641261.44,0,0
277,CASH_OUT,211273.77,C313500298,273017.82,61744.05,C881526591,395292.84,606566.61,0,0
161,TRANSFER,2770.21,C868820204,954271.47,951501.26,C576977976,228256.76,231026.97,0,0
460,TRANSFER,1703.32,C797808098,863419.07,861715.75,C896209276,11747.24,13450.56,0,0
314,CASH_IN,1807.07,C853041955,6685.03,4877.96,C546257594,183154.48,184961.55,0,0
22,PAYMENT,24136.89,C685126461,123534.59,99397.7,C962950738,6592.91,30729.8,0,0
253,CASH_IN,56764.7,C550455977,39023.14,0.0,C575135446,14573.77,71338.47,0,0
561,CASH_IN,113618.83,C336696312,57647.54,0.0,C409918418,290495.43,404114.26,0,0
475,CASH_IN,8291.45,C582334538,578306.91,570015.46,C275868541,12948.23,21239.68,0,0
59,PAYMENT,1843.99,C732719211,2676067.8,2674223.81,C965084562,15200439.07,15202283.06,0,0
511,CASH_OUT,3446.39,C398704996,100893.58,97447.19,C881684761,1011965.71,1015412.1,0,0
682,CASH_OUT,8521.74,C969119330,1128.39,0.0,C555086354,179741.13,188262.87,0,0
476,PAYMENT,7849.64,C106977991,2128.58,0.0,C882334208,608.17,8457.81,0,0
700,PAYMENT,57667.4,C914763202,54556.96,0.0,C544737192,3656.61,61324.01,0,0
190,CASH_IN,1122.8,C965241839,440263.68,439140.88,M249859658,0.0,0.0,0,0
687,CASH_OUT,1520.49,C271432881,12445.68,10925.19,C997123679,54395.19,55915.68,0,0
563,CASH_OUT,5091.28,C849621470,40849.48,35758.2,C730479792,1736399.58,1741490.86,0,0
567,PAYMENT,14098.25,C553778756,1522428.03,1508329.78,C742028580,57485.42,71583.67,0,0
244,PAYMENT,4171.44,C465341213,27093.25,22921.81,C192425524,22067.13,26238.57,0,0
505,CASH_OUT,3691.82,C398362082,1994092.18,1990400.36,M254231505,0.0,0.0,0,0
131,PAYMENT,47127.86,C266944844,25322.47,0.0,C323106146,7556.22,54684.08,0,0
485,PAYMENT,16447.51,C331191390,365324.2,348876.69,M425591954,0.0,0.0,0,0
647,CASH_IN,1849.95,C919795579,69822.18,67972.23,C609611966,348377.66,350227.61,0,0
21,PAYMENT,3772.29,C461415646,283018.86,279246.57,C664037702,55213.29,58985.58,0,0
167,CASH_OUT,17592.46,C209747451,3326003.8,3308411.34,C460150990,2562.92,20155.38,0,0
274,PAYMENT,1222.27,C199585092,138599.16,137376.89,C170991275,98770.64,99992.91,0,0
388,CASH_IN,17432.64,C507943839,745751.11,728318.47,C734236627,499395.04,516827.68,0,0
601,CASH_OUT,4838.22,C203848421,10003.97,5165.75,M911871283,0.0,0.0,0,0
316,CASH_IN,13963.64,C485451171,9294.19,0.0,C503482553,1263544.72,1277508.36,0,0
14,PAYMENT,9699.18,C469319644,2287.31,0.0,C194970622,239051.3,248750.48,0,0
242,CASH_IN,1516.21,C748245888,7249.63,5733.42,M107106953,0.0,0.0,0,0
346,CASH_IN,3118.38,C384027113,1244859.59,1241741.21,C539655012,1969431.78,1972550.16,0,0
565,CASH_OUT,71047.33,C966647391,116183.29,45135.96,M785912716,0.0,0.0,0,0
340,CASH_IN,284071.92,C146654552,35073.31,0.0,C393484627,223360.76,507432.68,0,0
92,CASH_OUT,589.42,C883543540,90074.29,89484.87,C545081036,1726726.74,1727316.16,0,0
367,CASH_IN,38742.2,C593303705,233372.95,194630.75,C287789943,100007.19,138749.39,0,0
455,PAYMENT,12624.88,C675770529,284080.23,271455.35,C696800574,978769.97,991394.85,0,0
428,PAYMENT,184135.08,C234031070,92702.88,0.0,M596197535,0.0,0.0,0,0
509,CASH_IN,3506.0,C506448196,951157.43,947651.43,C862621919,39018.88,42524.88,0,0
35,CASH_IN,31176.68,C184611066,8591.06,0.0,C709795510,417957.61,449134.29,0,0
206,CASH_OUT,5146.31,C692749116,29693.05,24546.74,C910936792,144392.62,149538.93,0,0
81,PAYMENT,55387.26,C414797776,621894.38,566507.12,C247024288,96733.26,152120.52,0,0
562,PAYMENT,259608.97,C990566476,405434.5,145825.53,M313951180,0.0,0.0,0,0
388,PAYMENT,11154.49,C774996843,125700.55,114546.06,M299722870,0.0,0.0,0,0
2,CASH_IN,1467.85,C764130526,20214.72,18746.87,M993657840,0.0,0.0,0,0
